Empresa,Ações,Classificação,Listagem,Tag Along,Setor,Subsetor,Segmento,Investing
AMBEV S/A,ABEV3,Mega Cap,Balcão Org. Tradicional,80% para ações ON,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,ambev-pn
ASSAI,ASAI3,Big Cap,Novo Mercado,100% para ações ON,Consumo não Cíclico,Comércio e Distribuição,Alimentos,sendas-distribuidora-sa
B3,B3SA3,Big Cap,Novo Mercado,100% para ações ON,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,bmfbovespa-on-nm
BRASIL,BBAS3,Big Cap,Novo Mercado,100% para ações ON,Financeiro,Intermediários Financeiros,Bancos,brasil-on
BRADESCO,BBDC3  BBDC4,Mega Cap,Nível 1 de Governança Corporativa,80% para ações ON,Financeiro,Intermediários Financeiros,Bancos,bradesco-pn-n1
BBSEGURIDADE,BBSE3,Big Cap,Novo Mercado,100% para ações ON,Financeiro,Previdência e Seguros,Seguradoras,bbseguridad
BTGP BANCO,BPAC11  BPAC3  BPAC5,Big Cap,Nível 2 de Governança Corporativa,100% para ações ON e PN,Financeiro,Intermediários Financeiros,Bancos,banco-btg-pactual-sa
CCR SA,CCRO3,Big Cap,Novo Mercado,100% para ações ON,Bens Industriais,Transporte,Exploração de Rodovias,ccr-sa-on-nm
CEMIG,CMIG3  CMIG4,Big Cap,Nível 1 de Governança Corporativa,80% para ações ON,Utilidade Pública,Energia Elétrica,Energia Elétrica,cemig-pn-n1
CPFL ENERGIA,CPFE3,Big Cap,Novo Mercado,100% para ações ON,Utilidade Pública,Energia Elétrica,Energia Elétrica,cpfl-energia-on-nm
COPEL,CPLE11  CPLE3  CPLE5  CPLE6,Big Cap,Nível 2 de Governança Corporativa,100% para ações ON e PN,Utilidade Pública,Energia Elétrica,Energia Elétrica,copel-on
CARREFOUR BR,CRFB3,Big Cap,Novo Mercado,100% para ações ON,Consumo não Cíclico,Comércio e Distribuição,Alimentos,atacadao-sa
COSAN,CSAN3,Big Cap,Novo Mercado,100% para ações ON,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,cosan-on-nm
CAIXA SEGURI,CXSE3,Big Cap,Novo Mercado,100% para ações ON,Financeiro,Previdência e Seguros,Seguradoras,caixa-seguridade-participacoes
ENGIE BRASIL,EGIE3,Big Cap,Novo Mercado,100% para ações ON,Utilidade Pública,Energia Elétrica,Energia Elétrica,tractebel-on-nm
